name,params,Error,P-Value
burr12,"(1.7863641930641831, 2.5513338272839983, -0.76156400362667, 139.82847323673667)",867850187.9086981,5.649310784662482e-129
betaprime,"(2.8863389959313306, 6.367842734190038, 0.3144958110576952, 160.54810904957543)",867850186.9631228,6.587148486226336e-129
kappa3,"(3.5910940423836872, 4.999999999988201, 95.06177714913758)",867850184.6268439,3.1944822797141703e-123
nct,"(3.192352076071699, 6.738215185674143, -39.64073112087931, 14.413813311487417)",867850190.4330752,5.524633660940083e-119
burr,"(2.4564684065998836, 0.7627687679152824, -0.4186232395664461, 82.87491159422046)",867850189.5638236,8.756164587468294e-118
recipinvgauss,"(0.9445230637845622, 2.917261955636195, 41.80654142946473)",867850187.435508,1.9800114684584982e-113
erlang,"(1.6277007925421725, 4.989481098249588, 51.60431901177667)",867850188.0149747,1.3024780400378474e-98
pearson3,"(1.5676271628688818, 88.98585154887108, 65.83749569269926)",867850188.014956,1.3043018098513491e-98
f,"(3.8469800337808984, 20.103423670109493, 4.959422188036452, 76.59785929875088)",867850188.7882075,1.757536408913262e-85
weibull_min,"(1.239998658959233, 4.997776039024039, 90.48564433964793)",867850187.4645718,5.460863714254111e-82
geninvgauss,"(0.8576575021403066, 0.8940235671802449, 4.018761619199626, 31.76710464660598)",867850187.4897063,3.390961860445773e-74
gengamma,"(5.0040243242672595, 0.5399589317074589, 4.940081856659635, 3.682301787108802)",867850187.9408218,9.80000904904231e-74
exponweib,"(3.1387601037693886, 0.7479975203409638, 4.955996782968443, 33.64680366317822)",867850188.0582504,1.8249756671115553e-73
